ID,name,birthYear,deathYear
nm0001936,Roxanne Blaze,1974,NULL
nm0001941,Iris Berben,1950,NULL
nm0001942,Luca Bercovici,NULL,NULL
nm0001951,Björk,1965,NULL
nm0001954,Claire Bloom,1931,NULL
nm0001969,Ray Bradbury,1920,2012
nm0001978,Emma Bunton,1976,NULL
nm0001980,Carter Burwell,1954,NULL
nm0001984,Naomi Campbell,1970,NULL
nm0001995,George Chakiris,1932,NULL
nm0002002,Shin'ichi Chiba,1939,2021
nm0002005,Agatha Christie,1890,1976
nm0002006,Thomas Haden Church,1960,NULL
nm0002008,Eric Clapton,1945,NULL
nm0002010,Christian Clavier,1952,NULL
nm0002043,Madhuri Dixit,1967,NULL
nm0002071,Will Ferrell,1967,NULL
nm0002076,Jason Flemyng,1966,NULL
nm0002103,Julian Glover,1935,NULL
nm0002130,Kathryn Harrold,1950,NULL
nm0002132,Amy Heckerling,NULL,NULL
nm0002136,Bernard Herrmann,1911,1975
nm0002150,Billy Idol,1955,NULL
nm0002168,Willeke van Ammelrooy,1944,NULL
nm0002169,Tori Amos,1963,NULL
nm0002181,Imanol Arias,1956,NULL
nm0002225,Axel Sand,1961,NULL
nm0002239,Prince,1958,2016
nm0002315,Roger Wielgus,1951,NULL
nm0002350,Jim Meskimen,1959,NULL
nm0002364,Dante Basco,1975,NULL
nm0002380,Giorgio Moroder,1940,NULL
nm0002388,Patrick J. Doody,NULL,NULL
nm0002438,Burnie Burns,1973,NULL
nm0002471,Jeanne Slater,NULL,NULL
nm0002492,John Bowker,NULL,NULL
nm0002625,Alison E. McBryde,1971,NULL
nm0002640,Norman Orenstein,NULL,NULL
nm0002677,Nathalie Alonso Casale,1970,NULL
nm0002728,Juan José Campanella,1959,NULL
nm0002743,Daniel McVicar,1958,NULL
nm0002776,Johnny Hallyday,1943,2017
nm0002800,Scott Levy,1971,NULL
nm0002828,Mark Sanders,NULL,NULL
nm0002907,Alexander Skarsgård,1976,NULL
nm0002963,Luc Chalifour,1961,NULL
nm0003063,David Tarleton,1971,NULL
nm0003080,Rachel Talalay,1958,NULL
nm0003085,Alan Roberts,NULL,2016
nm0003089,Carlos Ebert,1946,NULL
nm0003115,Christine Lakin,1979,NULL
nm0003162,Marc Summers,1951,NULL
nm0003210,C. Ernst Harth,1970,NULL
nm0003276,Ron Ofer,1971,NULL
nm0003319,Viktor Giacobbo,1952,NULL
nm0003524,Eric Neal Young,NULL,NULL
nm0003588,Craig Pryce,NULL,NULL
nm0003595,Corey Klemow,1970,NULL
nm0003607,Nicola Piovani,1946,NULL
nm0003626,Charlie Condou,1973,NULL
nm0003647,George Keller,1953,NULL
nm0003656,Matthew Kershaw,1972,NULL
nm0003665,Wolfgang Amadeus Mozart,1756,1791
nm0003670,Andreas Morell,1946,NULL
nm0003676,C. Courtney Joyner,NULL,NULL
nm0003688,Otakar Brousek,1957,NULL
nm0003713,Marc Pilvinsky,NULL,NULL
nm0003784,Joe Grisaffi,1968,NULL
nm0003893,Hughes Winborne,NULL,NULL
nm0003944,Ian James Corlett,1962,NULL
nm0003979,Daniel Schweiger,NULL,NULL
nm0004051,Brian Cox,1946,NULL
nm0004109,Gulshan Grover,1955,NULL
nm0004150,Jeremy Benning,1974,NULL
nm0004162,Patti Podesta,NULL,NULL
nm0004253,Marc Pollon,NULL,NULL
nm0004335,Hrithik Roshan,1974,NULL
nm0004372,Gary Graver,1938,2006
nm0004418,Kajol,1974,NULL
nm0004432,Prithviraj Kapoor,1906,1972
nm0004437,Sridevi,1963,2018
nm0004462,Jean-Louis Trintignant,1930,2022
nm0004487,Juhi Chawla,1967,NULL
nm0004520,Paul Diamond,NULL,NULL
nm0004586,Byron Werner,NULL,NULL
nm0004626,Kareena Kapoor,1980,NULL
nm0004631,Seeta Rama Anjaneyulu Chilakalapudi,1907,1963
nm0004645,Antonio Sabato Jr.,1972,NULL
nm0004695,Jessica Alba,1981,NULL
nm0004696,Buzz Aldrin,1930,NULL
nm0004702,Marty Allen,1922,2018
nm0004723,Tyra Banks,1973,NULL
nm0004738,Catherine Bell,1968,NULL
nm0004739,Lauralee Bell,1968,NULL
nm0004746,Tony Bennett,1926,NULL
nm0004749,Emily Bergl,1975,NULL
nm0004763,Mary J. Blige,1971,NULL
nm0004771,Da Brat,1974,NULL
nm0004772,Toni Braxton,1966,NULL
nm0004777,Erin Brockovich-Ellis,1960,NULL
nm0004802,Linda Cardellini,1975,NULL
nm0004809,Aaron Carter,1987,2022
nm0004822,Melanie C,1974,NULL
nm0004829,Spencer Treat Clark,1987,NULL
nm0004851,Penélope Cruz,1974,NULL
nm0004858,Patrika Darbo,1948,NULL
nm0004879,Snoop Dogg,1971,NULL
nm0004880,Micky Dolenz,1945,NULL
nm0004881,Plácido Domingo,1941,NULL
nm0004888,Debbe Dunning,1966,NULL
nm0004889,Jermaine Dupri,1972,NULL
nm0004896,Eminem,1972,NULL
nm0004902,Melissa Etheridge,1961,NULL
nm0004904,Angie Everhart,1969,NULL
nm0004914,Fergie,1975,NULL
nm0004936,Ben Foster,1980,NULL
nm0004938,Kirk Franklin,1970,NULL
nm0004950,Jennifer Garner,1972,NULL
nm0004955,Galen Gering,1971,NULL
nm0004957,Leeza Gibbons,1957,NULL
nm0004960,Sara Gilbert,1975,NULL
nm0004973,Amy Grant,1960,NULL
nm0004975,Macy Gray,1967,NULL
nm0004976,Brian Grazer,1951,NULL
nm0004979,David Alan Grier,1956,NULL
nm0004991,Hill Harper,1966,NULL
nm0005003,Sean Hayes,1970,NULL
nm0005004,Patricia Heaton,1958,NULL
nm0005018,Evander Holyfield,1962,NULL
nm0005019,Bo Hopkins,1938,2022
nm0005028,Kate Hudson,1979,NULL
nm0005031,Felicity Huffman,1962,NULL
nm0005039,Julio Iglesias Jr.,1973,NULL
nm0005040,Enrique Iglesias,1975,NULL
nm0005056,Elton John,1947,NULL
nm0005062,Chuck Jones,1912,2002
nm0005065,Quincy Jones,1933,NULL
nm0005070,Montell Jordan,1968,NULL
nm0005078,Stacy Keach,1941,NULL
nm0005079,Josh Keaton,1979,NULL
nm0005092,Larry King,1933,2021
nm0005109,Mila Kunis,1983,NULL
nm0005119,Artie Lange,1967,NULL
nm0005125,Sanaa Lathan,1971,NULL
nm0005131,Norman Lear,1922,NULL
nm0005142,Annie Lennox,1954,NULL
nm0005143,Jay Leno,1950,NULL
nm0005146,Lisa Leslie,1972,NULL
nm0005150,Tara Lipinski,1982,NULL
nm0005151,Jonathan Lipnicki,1990,NULL
nm0005164,Lyle Lovett,1957,NULL
nm0005175,Bill Maher,1956,NULL
nm0005179,Camryn Manheim,1961,NULL
nm0005184,Patricia Manterola,1972,NULL
nm0005188,James Marsden,1973,NULL
nm0005192,Kellie Martin,1975,NULL
nm0005193,Ricky Martin,1971,NULL
nm0005200,Paul McCartney,1942,NULL
nm0005201,Catherine McCord,1974,NULL
nm0005202,Eric McCormack,1963,NULL
nm0005211,Danica McKellar,1975,NULL
nm0005218,Tim Meadows,1961,NULL
nm0005222,Sam Mendes,1965,NULL
nm0005226,Debra Messing,1968,NULL
nm0005240,Moby,1965,NULL
nm0005244,Fernanda Montenegro,1929,NULL
nm0005245,Shemar Moore,1970,NULL
nm0005251,Carrie-Anne Moss,1967,NULL
nm0005259,Megan Mullally,1958,NULL
nm0005264,Elise Neal,1966,NULL
nm0005268,Willie Nelson,1933,NULL
nm0005277,Conan O'Brien,1963,NULL
nm0005278,Jerry O'Connell,1974,NULL
nm0005299,Sarah Paulson,1974,NULL
nm0005318,Carly Pope,NULL,NULL
nm0005348,Carl Reiner,1922,2020
nm0005351,Ryan Reynolds,1976,NULL
nm0005357,Jerry Rice,1962,NULL
nm0005358,Tim Rice,1944,NULL
nm0005360,Lionel Richie,1949,NULL
nm0005361,LeAnn Rimes,1982,NULL
nm0005372,Holly Robinson Peete,1964,NULL
nm0005376,Kid Rock,1971,NULL
nm0005377,Sam Rockwell,1968,NULL
nm0005386,Cecilia Roth,1956,NULL
nm0005440,Kelly Slater,1972,NULL
nm0005446,Patti Smith,1946,NULL
nm0005479,Bernie Taupin,1950,NULL
nm0005534,Diane Warren,1956,NULL
nm0005544,Harvey Weinstein,1952,NULL
nm0005549,Haskell Wexler,1922,2015
nm0005551,Lynn Whitfield,1953,NULL
nm0005560,Robbie Williams,1974,NULL
nm0005596,Jonathan Bourne,NULL,NULL
nm0005678,Dean Cundey,1946,NULL
nm0005683,Roger Deakins,1949,NULL
nm0005690,William K.L. Dickson,1860,1935
nm0005703,Don E. FauntLeRoy,1953,NULL
nm0005948,Jorge Arriagada,1943,NULL
nm0006026,Guido De Angelis,1944,NULL
nm0006027,Maurizio De Angelis,1947,NULL
nm0006035,Alexandre Desplat,1961,NULL
nm0006041,Klaus Doldinger,1936,NULL
nm0006131,Arthur Honegger,1892,1955
nm0006166,Michel Legrand,1932,2019
nm0006168,John Lennon,1940,1980
nm0006182,Anu Malik,1960,NULL
nm0006188,John Massari,1957,NULL
nm0006205,Mark Mothersbaugh,1950,NULL
nm0006223,Jean-Claude Petit,1943,NULL
nm0006249,Satyajit Ray,1921,1992
nm0006311,Igor Stravinsky,1882,1971
nm0006334,Antonio Vivaldi,1678,1741
nm0006429,Girija,1938,NULL
nm0006502,Scott Mislan,NULL,NULL
nm0006514,Jeroen de Bruin,1971,NULL
nm0006516,Chris Terrio,1976,NULL
nm0006522,Haydn Gwynne,1957,NULL
nm0006539,Shawne Fielding,1969,NULL
nm0006573,Philippe Leroy,1930,NULL
nm0006620,Jean-Pierre Mocky,1929,2019
nm0006737,Hark Bohm,1939,NULL
nm0006745,João Mário Grilo,1958,NULL
nm0006763,Jackie Shroff,1957,NULL
nm0006764,Sonali Kulkarni,1974,NULL
nm0006765,Vidhu Vinod Chopra,1952,NULL
nm0006795,Salman Khan,1965,NULL
nm0006801,Antoine Monot Jr.,1975,NULL
nm0006803,Ken Sanders,NULL,NULL
nm0006939,Richard Berry,1950,NULL
nm0006958,Jonathan Tucker,1982,NULL
nm0007018,Karimah Westbrook,1978,NULL
nm0007066,Nanouk Leopold,1968,NULL
nm0007099,Robert Angst,NULL,NULL
nm0007106,Shakti Kapoor,1952,NULL
nm0007131,Subhash Ghai,1945,NULL
nm0007134,Farah Khan,1965,NULL
nm0007147,Dev Anand,1923,2011
nm0007173,Rabindranath Tagore,1861,1941
nm0007235,Ilaria Borrelli,1968,NULL
nm0007332,Lasse Aagaard,NULL,NULL
nm0007404,Aamani,1973,NULL
nm0007555,Tõnu Aav,1939,2019
nm0007920,Russ Abbot,1947,NULL
nm0007938,Brian Abbott,NULL,NULL
nm0008009,Louise Abbott,NULL,NULL
nm0008155,Zaky Fateen Abdel Wahab,1961,2022
nm0008330,Pamela Abdy,NULL,NULL
nm0008346,Hiroshi Abe,1964,NULL
nm0008360,Masashi Abe,NULL,NULL
nm0008442,Dominique Abel,1957,NULL
nm0008479,Milton Abel,1928,2006
nm0008506,Lionel Abelanski,1964,NULL
nm0008613,Andrés Aberasturi,1948,NULL
nm0008713,Abhimanyu Singh,1979,NULL
nm0008956,Morris Abraham,NULL,NULL
nm0009127,Marina Abramovic,1946,NULL
nm0009312,Cris Abrego,NULL,NULL
nm0009319,Brad Abrell,1965,NULL
nm0009402,Pedro Abrunhosa,1960,NULL
nm0009403,Nada Abrus,1951,NULL
nm0009512,Ioana Abur,1969,NULL
nm0009782,Jörg Achatz,NULL,NULL
nm0009889,Patricio Achurra,1943,NULL
nm0009897,Nilüfer Açikalin,1967,NULL
nm0009961,Dan Ackerman,NULL,NULL
nm0009967,Ed Ackerman,NULL,NULL
nm0010157,Alpha Acosta,1973,NULL
nm0010207,Juana Acosta,1976,NULL
nm0010237,Ricardo Acosta,NULL,NULL
nm0010248,Tamara Acosta,NULL,NULL
nm0010271,Francesco Acquaroli,1962,NULL
nm0010383,Aleksandr Adabashyan,1945,NULL
nm0010562,Marie-Christine Adam,1950,NULL
nm0010648,Ashot Adamyan,1953,NULL
nm0010672,Salvatore Adamo,1943,NULL
nm0010736,Amy Adams,1974,NULL
nm0010781,Brandon Quintin Adams,1979,NULL
nm0010916,Don Adams,NULL,NULL
nm0010938,Eboni Adams,NULL,NULL
nm0010963,Evan Adams,1966,NULL
nm0011076,John Adams,1947,NULL
nm0011127,Khaliah Adams,NULL,NULL
nm0011188,Marla Adams,1938,NULL
nm0011752,Maren Ade,1976,NULL
nm0012262,Yael Adler,1973,NULL
nm0012523,Scott Adsit,1965,NULL
nm0012661,Valeriy Afanasev,1949,NULL
nm0013010,Panos Angelopoulos,NULL,NULL
nm0013070,Marijam Agischewa,1958,NULL
nm0013153,Steve Agnew,NULL,NULL
nm0013335,Jorge Aldama,NULL,NULL
nm0013455,Héctor Aguilar Camín,1946,NULL
nm0013612,Santiago Aguilar,NULL,NULL
nm0013669,Adriana Aguirre,1951,NULL
nm0014185,Vaneeza Ahmad,1971,NULL
nm0014328,Mariella Ahrens,1969,NULL
nm0014474,Umie Aida,1973,NULL
nm0014531,Alexei Aigui,1971,NULL
nm0014551,Kazuyuki Aijima,1961,NULL
nm0014557,Rikako Aikawa,1967,NULL
nm0014614,Roger Ailes,1940,2017
nm0014735,Kacey Ainsworth,1968,NULL
nm0014802,Lenita Airisto,1937,NULL
nm0014960,Alexandre Aja,1978,NULL
nm0015033,Soumaya Akaaboune,1974,NULL
nm0015092,Pisan Akaraseni,NULL,NULL
nm0015109,Taro Akashi,NULL,NULL
nm0015121,Ezel Akay,1961,NULL
nm0015130,Demet Akbag,1960,NULL
nm0015137,Tami Roman,NULL,NULL
nm0015295,Zoya Akhtar,1972,NULL
nm0015301,Archil Akhvlediani,NULL,NULL
nm0015321,Lisa Akikawa,1952,NULL
nm0015359,Fatih Akin,1973,NULL
nm0015440,Kumiko Akiyoshi,1954,NULL
nm0015528,Necati Akpinar,NULL,NULL
nm0015567,Fatih Aksoy,1961,NULL
nm0016013,Luis Alarcón,1929,NULL
nm0016087,Moustapha Alassane,1942,2015
nm0016090,Mikko Alatalo,1951,NULL
nm0016175,Juan Alba,1965,NULL
nm0016370,Mark Albela,NULL,NULL
nm0016635,Fabio Alberti,1966,NULL
nm0016845,Luisa Albinoni,NULL,NULL
nm0017207,Daniel Alcaíno,NULL,NULL
nm0017343,Damián Alcázar,1953,NULL
nm0017535,Ángel Alderete,NULL,NULL
nm0017585,Kristen Alderson,1991,NULL
nm0017601,Terry Alderton,1970,NULL
nm0017611,Aysegül Aldinç,1957,NULL
nm0017620,William Porter,1947,2019
nm0017783,Pasquale Aleardi,1971,NULL
nm0017824,Alfredo Alegría,NULL,NULL
nm0018140,Rinaldo Alessandrini,NULL,NULL
nm0018396,Eliana Alexander,1969,NULL
nm0018493,Jay Alexander,1971,NULL
nm0018631,Michelle Alexander,NULL,NULL
nm0018729,Sarah Alexander,1971,NULL
nm0018734,Sasha Alexander,1973,NULL
nm0018735,Scott Alexander,1963,NULL
nm0018774,Tatjana Alexander,1969,NULL
nm0018957,Alexia Stresi,1971,NULL
nm0019055,Renato Alfarano,NULL,NULL
nm0019338,Zafer Algöz,1961,NULL
nm0019753,Boris Aljinovic,1967,NULL
nm0019783,Caner Alkaya,1963,NULL
nm0020039,Fazila Allana,NULL,NULL
nm0020199,Roberta Allegrini,NULL,NULL
nm0020404,Darrell Allen,NULL,NULL
nm0020405,Dave Allen,1958,NULL
nm0020489,Elise Allen,NULL,NULL
